Call_Number;Kronieken zonder deelnr;Word_count;Place_topic;Kalender;Einddatum kroniek ;described_period_begin;described_period_end;contemporain_begin;contemporain_begin_integer;contemporain_end;Contemporary_years_covered
1499_Rott_Jans;1499_Rott_Jans;18553;Rotterdam;Juliaans;1499;1313;1499;1494;1494;1499;5
1507_Beek_Trec;1507_Beek_Trec;61128;Beek;Juliaans;1507;1275;1507;1462;1462;1507;45
1509_Zier_Anon;1509_Zier_Anon;4091;Zierikzee;Juliaans;1473;-3500;1473;1458;1458;1509;51
1526_Zwol_Stee;1526_Zwol_Stee;18332;Zwolle;Juliaans;1526;1520;1526;1522;1522;1526;4
1535_Gron_Anon;1535_Gron_Anon;18165;Groningen;Juliaans;1535;1445;1535;1495;1495;1535;40
1542_Gent_Anon;1542_Gent_Anon;16133;Gent;Juliaans;1542;1538;1542;1538;1538;1542;4
1545_Kuri_Munt;1545_Kuri_Munt;46993;Kuringen;Juliaans;1545;1530;1545;1530;1530;1545;15
1551_Kamp_Herm;1551_Kamp_Herm;83164;Kampen;Juliaans;1551;1505;1551;1517;1517;1551;34
1553_Utre_Mijn;1553_Utre_Mijn;17115;Utrecht;Juliaans;1553;1296;1552;1520;1520;1552;32
1558_Bosc_Cupe;1558_Bosc_Cupe;97938;Den Bosch;Juliaans;1558;1174;1579;1533;1533;1558;25
1558_Brus_Anon;1558_Brus_Anon;98373;Brussel;Juliaans;1558;-1184;1558;;;1558;
1567_Amst_Bies;1567_Amst_Bies;12046;Amsterdam;Juliaans;1567;1534;1567;1534;1534;1567;33
1567_Amst_Reae;1567_Amst_Reae;13233;Amsterdam;Juliaans;1567;1542;1567;1542;1542;1568;26
1568_Gent_Anon;1568_Gent_Anon;145990;Gent;Juliaans;1568;707;1568;ca. 1530;1530;1568;38
1568_Gent_Vaer;1568_Gent_Vaer;374708;Gent;Juliaans;1568;1566;1568;1566;1566;1568;2
1568_Leeu_Joos;1568_Leeu_Joos;13299;Leeuwarden;Gregoriaans;1568;1566;1568;1566;1566;1568;2
1571_Gent_Camp;1571_Gent_Camp;126309;Gent;Juliaans;1571;1566;1572;1566;1566;1572;6
1574_Antw_Ano1;1574_Antw_Ano1;89914;Antwerpen;Juliaans;1575;1500;1574;1550;1550;1574;24
1574_Antw_Ano2;1574_Antw_Ano2;78886;Antwerpen;Juliaans;1574;1500;1574;1550;1550;1574;24
1574_Antw_Haec;1574_Antw_Haec;270300;Antwerpen;Juliaans;1574;1565;1574;1565;1565;1574;9
1575_Bosc_Anon;1575_Bosc_Anon;28388;Den Bosch;Juliaans;1575;1566;1575;1566;1566;1575;9
1575_Purm_Roll;1575_Purm_Roll;18672;Hoorn;Juliaans;1575;1572;1575;1572;1572;1575;3
1576_Utre_Anon;1576_Utre_Anon;39524;Utrecht;Juliaans;1576;1566;1576;1566;1566;1576;10
1576_Zier_Clae;1576_Zier_Clae;9033;Zierikzee;Juliaans;1576;1571;1577;1575;1575;1577;2
1577_Utre_Anon;1577_Utre_Anon;15091;Utrecht;Juliaans;1577;1576;1577;1576;1576;1577;1
