Call Number;Digitized by;Annotations 1: Named entities, dates, layout;Normalized date attributes (yyyy-mm-dd);Annotations 2: Sources of information;Annotations 3: Attribution;Place topic;Author;Short title;Full Provenance
1499_Rott_Jans;DBNL;Yes;Yes;No;;Rotterdam;Allertszoon, Jan en Crnelis Janszoon;Rotterdamse kroniek: aantekeningen van Rotterdamse stadssecretarissen, 1315-1499 (1570);Allertsz, Jan, en Jansz, Cornelis. Rotterdamse kroniek: aantekeningen van Rotterdamse stadssecretarissen, 1315-1499 (1570). Onder redactie van H. ten Boom en J. van Herwaarden. S.l, 1981. https://www.dbnl.org/tekst/_ned017198001_01/_ned017198001_01_0002.php.
1507_Beek_Trec;DBNL;Yes;Yes;Part;;Beek;Trecpoel, Peter;Chronijk der landen van Overmaas en aangrenzende gewesten door eenen inwoner van Beek;Anoniem. “Chronijk Der Landen van Overmaas En Aangrenzende Gewesten Door Eenen Inwoner van Beek.” Edited by Jos Habets. Publications de La Société Historique et Archéologique Dans Le Limbourg, 1870, 5–197.
1509_Zier_Anon;DBNL;Yes;Yes;Part;;Zierikzee;Anoniem;Een Zierikzeese kroniek (693-1473);Anoniem. “Een Zierikzeese kroniek (693-1473).” Edited by J.G. Smit. Kroniek van het land van de zeemeermin (Schouwen-Duiveland) 16 (1991): 21–40.
1526_Zwol_Stee;DBNL;Yes;Yes;No;;Zwolle;Steenwijk, Johan/Jan van (maar we weten niet welke);Zwolsche kroniek van 1520 tot 1526;Steenwijk, Jan/Johan van. Zwolsche Kroniek van 1520 Tot 1526. Edited by Johan Willem Mulder. Zwolle: De erven J.J. Tijl, 1898. https://www.dbnl.org/tekst/_zwo001zwol01_01/.
1535_Gron_Anon;DBNL;Yes;No;No;;Groningen;Anoniem;Kroniekje van Groningen, uit de 16de eeuw;Anoniem. “Kroniekje van Groningen, uit de 16de eeuw.” Edited by W. Zuidema. Bijdragen en Mededelingen van het Historisch Genootschap 12 (1889): 93–181.
1542_Gent_Anon;Volunteers;No;No;No;;Gent;Anoniem;Kroniek van Gent, 1538-1542;Anoniem. “Kroniek van Gent, 1538-1542.” Gent, 1542. Boekentoren, BHSL.HS.2340. UB Gent. https://lib.ugent.be/nl/catalog/rug01:000836905?i=20&q=kroniek&type=manuscript.
1545_Kuri_Munt;DBNL;No;No;No;;Kuringen;Munters , Christiaan;Dagboek van gebeurtenissen opgetekend door Christiaan Munters, 1529-1545;Munters, Christiaan. Dagboek van gebeurtenissen opgetekend door Christiaan Munters, 1529-1545. Onder redactie van Jozef Grauwels. Assen: Van Gorcum [etc.], 1972. https://proxy.archieven.nl/1540/5364A3A6B60964E2E054001A4B08D327.
1551_Kamp_Herm;DBNL;Yes;No;Part;;Kampen;Hermans, Geert en andere;Liber Diversorum D. Annalia en andere Copieen;Hermans, Geert, Johan van Breda, Heyman Brant, en Cornelis Meeus. ‘Liber Diversorum D. Annalia en andere Copieen’. Vertaald door Peter Bakker, 1551. Oud Archief inv.nr. 12. Stadsarchief Kampen. https://proxy.archieven.nl/69/7BFBE777A5A74B239B3A321ABD2F30FB.
1553_Utre_Mijn;DBNL;Yes;No;No;;Utrecht;Aemstel Mijnden, Herbaren  van;Gedenkschriften van Jhr. Herberen van Mijnden;Mijnden, Herberen van. ‘Gedenkschriften van Jhr. Herberen van Mijnden’. Onder redactie van Samuel Fzn Muller. Bijdragen en Mededelingen van het Historisch Genootschap 11 (1888): 9-69.
1558_Bosc_Cupe;DBNL;Yes;No;Yes;;Den Bosch;Cuperinus, Adelbertus;Die Chronicke van der vermaerder en de vromer stad van 's-Hertogenbosch etc;Cuperinus, Adelbertus. “Die Chronicke van Der Vermaerder En de Vromer Stad van ’s-Hertogenbosch Etc.” In Verzameling van Kronyken, Charters En Oorkonden Betrekkelijk de Stad En Meijerij van ’s-Hertogenbosch, edited by Cornelis Rudolphus Hermans, 1:1–395. ’s Hertogenbosch: Stokvisch, 1847. https://www.dbnl.org/tekst/herm003verz01_01/herm003verz01_01_0003.php.
1567_Amst_Bies;DBNL;Yes;Yes;No;;Amsterdam;Biesten, Hendrik  van;Anteykeningen, gedaen van Broer Hendrik van Biesten, Orateur van de Minnebroeders binnen Amsterdam;"Biesten, Hendrik van. “Anteykeningen, gedaen van Broer Hendrik van Biesten, Orateur van de Minnebroeders binnen Amsterdam, op de nijeuwe mare en geschiedenis, dat geschiet is binnen en omtrent Amsterdam, sedert den jaere 1534 tot den jaere 1567; getrouwelijc gecomponiert.” Edited by Joseph Alberdingh Thijm. De Dietsche warande, no. 7 (1866): 519–50."
1567_Amst_Reae;DBNL;Yes;Yes;No;;Amsterdam;Reael, Laurens Jacobszoon;Uittreksel uit de Amsterdamsche gedenkschriften van Laurens Jacobsz Reael, 1542-1567;Reael, Laurens Jacobsz. “Uittreksel Uit de Amsterdamsche Gedenkschriften van Laurens Jacobsz Reael, 1542-1567.” Edited by J.C. Breen. Bijdragen En Mededelingen van Het Historisch Genootschap 17 (1896): 1–60.
1568_Gent_Anon;Volunteers;No;No;No;;Gent;Anoniem;Kroniek van Gent, 1301-1568;Anoniem. “Kroniek van Gent, 1301-1568.” Gent, 1568. Boekentoren, BHSL.HS.2489. UB Gent. https://lib.ugent.be/catalog/rug01:000989888.
1568_Gent_Vaer;DBNL;Yes;Yes;Part;;Gent;van Vaernewyck, Marcus;Van die beroerlicke tijden in die Nederlanden en voornamelijk in Ghendt 1566-1568;Vaernewyck, Marcus. Van Die Beroerlicke Tijden in Die Nederlanden En Voornamelijk in Ghendt 1566-1568. Leiden: DBNL, 2007. http://www.dbnl.org/tekst/vaer003vand01_01/.
1568_Leeu_Joos;;;;;;Leeuwarden;Joost, Antonis;Ephemerides Leovardienses of Leeuwarder aanteekeningen van den notaris Anthonius Joostzoon, 1566 - 1568;Joostzoon, Antonius. ‘Ephemerides Leovardienses of Leeuwarder aanteekeningen van den notaris Anthonius Joostzoon, 1566 - 1568’. Onder redactie van W.W. Buma. Vrije Fries IX (1862): 387-440.
1571_Gent_Camp;DBNL;Yes;Yes;No;;Gent;Campene, Cornelis  van en Philips  Van Campene;Dagboek van Cornelis en Philip van Campene: : Behelzende Het Verhaal Der Merkwaardigste Gebeurtenissen, Voorgevallen Te Gent Sedert Het Begin Der Godsdienstberoerten Tot Den 5en April 1571;Campene, Cornelis, and Philips Van Campene. Dagboek van Cornelis En Philip van Campene : Behelzende Het Verhaal Der Merkwaardigste Gebeurtenissen, Voorgevallen Te Gent Sedert Het Begin Der Godsdienstberoerten Tot Den 5en April 1571. Edited by Frans de Potter. Gent: Annoot-Braeckman, 1870. https://dbnl.nl/tekst/camp025dagb01_01/.
1574_Antw_Ano1;DBNL;Yes;Yes;Yes;;Antwerpen;F.G.V.;Chronycke van Antwerpen sedert het jaer 1500 tot 1575;"Ullens, F.G., ed. Chronycke van Antwerpen sedert het jaer 1500 tot 1575 ; gevolgd van Eene beschryving van de historie en het landt van Brabant, sedert het jaer 51 vóór J.-C., tot 1565 na J.-C., volgens een onuitgegeven handschrift van de XVIe eeuw. Antwerpen: Van Dieren, 1845. https://dbnl.nl/tekst/ulle001chro01_01/."
