"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"M6EMRTKH","manuscript","1789","Ackersdijk, Willem Cornelis","Kronyk der Hoofdstad 's Hertogenbosch. Inhoudende allerlei merkwaardige zaaken, binnen die stad en eenige in derselver meijerij voorgevallen, of daartoe betreklijk. Aanvang neemende met den jaare 1780. Ten tijde van derzelver gebeurtenis naaukeurig binnen voorzeide stad aan, geteekend door Mr. Willem. Corn: Ackersdijck. 1e stuk.","","","","","","Den Bosch","1789","2019-12-10 11:24:06","2024-01-09 11:32:32","","","","","","","","","","","","","","Den Bosch","nl","","","UB Tilburg","KHS D154","","1794_Bosc_Acke_01","1780-1789","","","","chronicle; Noord-Brabant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAZ9DXVA","manuscript","1794","Ackersdijk, Willem Cornelis","Kronyk der Hoofdstad 's Hertogenbosch. Inhoudende allerleie merkwaardige zaaken, binnen die stad en eenige in derzelver meijereij voorgevallen, of daartoe betrekkelijk aanvang neemende met den jaare 1790. Ten tijde van derzelver gebeurtenis naaukeurig binnen voorzeide stad aangeteekend door Mr Willem Corn: Ackersdijck. 2e stuk.","","","","","","Den Bosch","1794","2019-12-10 11:32:32","2024-01-09 11:32:37","","","","","","","","","","","","","","Den Bosch","nl","","","UB Tilburg","KHS D155","","1794_Bosc_Acke_02","1790-1794 Scan 71 ontbreekt op VH","","","","chronicle; Noord-Brabant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79QM9EB6","manuscript","1755","Spruijt, Jurriaan","Het tweede deel off vervolg van de historie der stad Hoorn","","","","","https://hdl.handle.net/21.12114/7FB043BF704E4ECFA1B20548045842A9","Hoorn","1755","2019-08-05 12:34:03","2024-03-12 13:12:48","","","205","","","","","","","","","","","Hoorn","nl","","1","Westfries Archief","Hervormde Gemeente Hoorn, toegang 0656, invnr 590","","1755_Hoor_Spru_02","1720-1755","","","","chronicle; Hoorn; Noord-Holland; 18de eeuw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CF5TC3WM","manuscript","1719","Spruijt, Jurriaan","""Kroniek van Hoorn"", register houdende aantekeningen betreffende de stadsgeschiedenis deel 1","","","","","https://hdl.handle.net/21.12114/2C7BB59B11FE418696233E2B8E25469F","Hoorn","1719","2013-10-23 11:55:12","2024-03-12 13:12:39","","","","","","","","","","","","","","Hoorn","nl","","","Westfries Archief","Hervormde Gemeente Hoorn, toegang 0656, invnr 589","","1755_Hoor_Spru_01","1416-1719. blz. 346-347 ontbreekt? Er zitten enkele dubbele scans nog in Transkribus, maar die zijn expres niet gesegmenteerd zodat de volgorde klopt. T.","","","","chronicle; Hoorn; Noord-Holland; 18de eeuw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ELB6IAA","book","1929","Van der Straelen, Jan Frans; Van der Straelen, Joannes-Baptista","De kronijk van Antwerpen","","","","","https://www.dbnl.org/tekst/stra131kron06_01/","Antwerpen","1929","2020-06-08 09:04:27","2024-03-27 09:42:26","","","2250","","6","8","","","","","","","Maatschappij ""Voor God en 't Volk""","Antwerpen","Dutch","","","DBNL","","Open WorldCat","1817_Antw_Stra_06","1770-1819","","","","chronicle; Antwerpen","","Berendoncks, A. van; Rylant, J; Leenaerts, R.J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAWV38H7","book","1929","Van der Straelen, Jan Frans; Van der Straelen, Joannes-Baptista","De kronijk van Antwerpen","","","","","https://www.dbnl.org/tekst/stra131kron02_01/","Antwerpen","1929","2020-06-08 09:04:42","2024-03-27 09:42:46","","","2250","","2","8","","","","","","","Maatschappij ""Voor God en 't Volk""","Antwerpen","Dutch","","","DBNL","","Open WorldCat","1817_Antw_Stra_02","1770-1819","","","","chronicle; Antwerpen","","Berendoncks, A. van; Rylant, J; Leenaerts, R.J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QTSBHVYE","book","1929","Van der Straelen, Jan Frans; Van der Straelen, Joannes-Baptista","De kronijk van Antwerpen","","","","","https://www.dbnl.org/tekst/stra131kron03_01/","Antwerpen","1929","2020-06-08 09:04:38","2024-03-27 09:42:41","","","2250","","3","8","","","","","","","Maatschappij ""Voor God en 't Volk""","Antwerpen","Dutch","","","DBNL","","Open WorldCat","1817_Antw_Stra_03","1770-1819","","","","chronicle; Antwerpen","","Berendoncks, A. van; Rylant, J; Leenaerts, R.J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKYN6RBC","book","1929","Van der Straelen, Jan Frans; Van der Straelen, Joannes-Baptista","De kronijk van Antwerpen","","","","","https://www.dbnl.org/tekst/stra131kron07_01/","Antwerpen","1929","2020-06-08 09:04:23","2024-03-27 09:42:21","","","2250","","7","8","","","","","","","Maatschappij ""Voor God en 't Volk""","Antwerpen","Dutch","","","DBNL","","Open WorldCat","1817_Antw_Stra_07","1770-1819","","","","chronicle; Antwerpen","","Berendoncks, A. van; Rylant, J; Leenaerts, R.J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DZDARPX","book","1929","Van der Straelen, Jan Frans; Van der Straelen, Joannes-Baptista","De kronijk van Antwerpen","","","","","https://www.dbnl.org/tekst/stra131kron05_01/","Antwerpen","1929","2020-06-08 09:04:31","2024-03-27 09:42:30","","","2250","","5","8","","","","","","","Maatschappij ""Voor God en 't Volk""","Antwerpen","Dutch","","","DBNL","","Open WorldCat","1817_Antw_Stra_05","1770-1819","","","","chronicle; Antwerpen","","Berendoncks, A. van; Rylant, J; Leenaerts, R.J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G6DTZFQU","book","1929","Van der Straelen, Jan Frans; Van der Straelen, Joannes-Baptista","De kronijk van Antwerpen","","","","","https://www.dbnl.org/tekst/stra131kron04_01/","Antwerpen","1929","2020-06-08 09:04:34","2024-03-27 09:42:34","","","2250","","4","8","","","","","","","Maatschappij ""Voor God en 't Volk""","Antwerpen","Dutch","","","DBNL","","Open WorldCat","1817_Antw_Stra_04","1770-1819","","","","chronicle; Antwerpen","","Berendoncks, A. van; Rylant, J; Leenaerts, R.J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3F7R4A7P","book","1929","Van der Straelen, Jan Frans; Van der Straelen, Joannes-Baptista","De kronijk van Antwerpen","","","","","https://www.dbnl.org/tekst/stra131kron08_01/","Antwerpen","1929","2020-06-08 09:04:10","2024-01-10 16:34:00","","","2250","","8","8","","","","","","","Maatschappij ""Voor God en 't Volk""","Antwerpen","Dutch","","","DBNL","","Open WorldCat","1817_Antw_Stra_08","1770-1819","","","","chronicle; Antwerpen","","Berendoncks, A. van; Rylant, J; Leenaerts, R.J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5R38XZU5","book","1929","Van der Straelen, Jan Frans; Van der Straelen, Joannes-Baptista","De kronijk van Antwerpen","","","","","https://www.dbnl.org/tekst/stra131kron01_01/","Antwerpen","1929","2013-10-22 11:47:30","2024-01-10 16:32:35","","","2250","","1","8","","","","","","","Maatschappij ""Voor God en 't Volk""","Antwerpen","Dutch","","","DBNL","","Open WorldCat","1817_Antw_Stra_01","1770-1819","","","","chronicle; Antwerpen","","Berendoncks, A. van; Rylant, J; Leenaerts, R.J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
